no,title,author,category,format,access_type,pages,file_size,description,isbn,year,publisher,cover_image,file_url,tags,total_copies,available_copies,is_featured,is_popular,is_new
30,Bersama Keluarga Menuju Surga,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Bersama Keluarga Menuju Surga adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1phuTwZ_4SzF8sRdi--0-kF0jOdsvKOF4,https://drive.google.com/uc?export=download&id=1y1XrKd-gYQJX_D1rfH5FZ4Jva6HcmP6x,,1,1,FALSE,FALSE,TRUE
31,Berteman karena Allah,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Berteman karena Allah adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1feNiHVlK4UrVEK6RMO3qZBfPhjctaKAU,https://drive.google.com/uc?export=download&id=1Gm80QNur6q97OKQhN7qZcrJMH9BjbrHu,,1,1,FALSE,FALSE,TRUE
32,Cara Mudah Menguasai Bahasa Arab Disertai kosa Kata harian Amiyah dan Fushah EBS,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Cara Mudah Menguasai Bahasa Arab Disertai kosa Kata harian Amiyah dan Fushah EBS adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1UHwuEiLrYUu7j9_SXeuAMSMzW3PbQZ5o,https://drive.google.com/uc?export=download&id=1JsBgEtBsWWNbnKrcfAqUtgnil30RJBxS,,1,1,FALSE,FALSE,TRUE
33,Cinta kepada Allah,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Cinta kepada Allah adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1Y2wRWz-r9FtaJCg-6kSW5Nqg7y47G06H,https://drive.google.com/uc?export=download&id=1kuwiIgaVImkneuQqTWIhEhD0NgIHUGAQ,,1,1,FALSE,FALSE,TRUE
34,Cita-cita Tertinggi Seorang Hamba,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Cita-cita Tertinggi Seorang Hamba adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1gtWCJj8mGja4FPBBfHAYqyFfnxGo-n-u,https://drive.google.com/uc?export=download&id=1rEhgqUhO5s9g2MJ6k78z5BF92MqxSi7K,,1,1,FALSE,FALSE,TRUE
35,Dahsyatnya ikhlas,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Dahsyatnya ikhlas adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=19fS9pyJqaxFz_KT1bZfDYTw1TDdtXNeM,https://drive.google.com/uc?export=download&id=10pbDE7Ob3y_GEHMku84KQENoTZhLOZaJ,,1,1,FALSE,FALSE,TRUE
36,Kenali agamamu,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Kenali agamamu adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1dR9eORD9w4o56T7CXCxgMxXpvIoWbUCM,https://drive.google.com/uc?export=download&id=1OZwn4DlpJEsHldF4rW7db6gnAcQyOumQ,,1,1,FALSE,FALSE,TRUE
37,Mensyukuri Berbagai Kenikmatan,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Mensyukuri Berbagai Kenikmatan adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1Iw7DSh3-GEkDzLQEu_XiZhfkRxvAKr4s,https://drive.google.com/uc?export=download&id=1qE5lis4zpr7dru9NsiIy41yht9ksxHcP,,1,1,FALSE,FALSE,TRUE
38,Nasihat Luqman untuk Anaknya,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Nasihat Luqman untuk Anaknya adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1k0-XyJyhRKdOEQF0OG-fYLgAGXNVlZuw,https://drive.google.com/uc?export=download&id=1VtAvAK8xuiCjPsxaPr6Tagq-ZgR96rZG,,1,1,FALSE,FALSE,TRUE
39,Orang islam harus kaya,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Orang islam harus kaya adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=17rzkfUDfP1-nOdeZoH7_XGdY0u2hg5a-,https://drive.google.com/uc?export=download&id=1Sevia2QtQRFbJoZmSrDW4jG_bixOZV8W,,1,1,FALSE,FALSE,TRUE
